onset	duration	participant_id	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResultOnset	ResponseOnset	ResponseTime	ResponseUncertainty	ShockOnset
10.5526	n/a	hc034	1	1	1	2	0.53	0	0	10.5	0	0.11867	10.5526	11.1196	99	14.0367	n/a	n/a	n/a	n/a
25.4159	28.0574	hc034	2	2	1	1	0.13	0	1	9.625	0	15.7862	25.4159	25.9324	1	28.9008	28.0574	2.125	0.00039441	n/a
42.0321	44.218	hc034	3	2	1	3	0.91	1	0	11.375	1	30.6646	42.0321	42.5628	1	45.536	44.218	1.6552	0.0011972	46.7709
56.9321	59.0807	hc034	4	3	1	1	0.15	1	1	9.625	1	47.2879	56.9321	57.4326	0	60.4079	59.0807	1.6481	0.00071698	n/a
72.6829	74.7204	hc034	5	1	1	2	0.61	0	1	10.5	0	62.1575	72.6829	73.1883	1	76.1543	74.7204	1.5321	0.00041494	n/a
89.3181	91.1674	hc034	6	3	1	1	0.31	1	0	11.375	0	77.922	89.3181	89.8187	0	92.7886	91.1674	1.3487	0.00052637	n/a
105.0689	107.4316	hc034	7	3	1	3	0.79	1	0	10.5	0	94.5405	105.0689	105.5643	0	108.5469	107.4316	1.8673	0.00034749	n/a
120.8198	122.8872	hc034	8	1	1	1	0.1	0	0	10.5	0	110.3081	120.8198	121.3204	0	124.2932	122.8872	1.5668	0.00042887	n/a
135.6907	137.5027	hc034	9	3	1	2	0.58	1	1	9.625	0	126.0429	135.6907	136.1906	0	139.1734	137.5027	1.3121	0.00031377	n/a
152.3215	154.3025	hc034	10	3	1	2	0.36	1	0	11.375	1	140.9255	152.3215	152.8221	0	155.8028	154.3025	1.4804	0.00027565	n/a
168.0724	170.1987	hc034	11	1	1	3	0.82	0	0	10.5	1	157.5524	168.0724	168.57299999999998	1	171.549	170.1987	1.6257	0.00080788	n/a
183.8297	185.8459	hc034	12	3	1	1	0.22	1	0	10.5	1	173.2988	183.8297	184.3296	0	187.2956	185.8459	1.5162	0.00037608	n/a
199.5762	201.6853	hc034	13	3	1	3	0.87	0	0	10.5	1	189.0624	199.5762	200.0761	0	203.0613	201.6853	1.6092	0.00032477	n/a
215.325	217.421	hc034	14	1	1	2	0.45	0	0	10.5	0	204.8132	215.325	215.8255	1	218.8121	217.421	1.5955	0.00028225	n/a
230.2082	232.4527	hc034	15	2	1	3	0.7	0	1	9.625	0	220.5641	230.2082	230.7024	1	233.6849	232.4527	1.7503	0.00029471	n/a
245.959	247.8124	hc034	16	1	1	1	0.27	0	1	10.5	1	235.4346	245.959	246.4655	0	249.4313	247.8124	1.3469	0.00036948	n/a
262.5785	264.3798	hc034	17	2	1	2	0.4	0	0	11.375	0	251.1815	262.5785	263.0616	1	266.0647	264.3798	1.3183	0.00027418	n/a
278.3451	279.7238	hc034	18	1	1	1	0.18	0	0	10.5	1	267.8166	278.3451	278.8414	1	281.8154	279.7238	0.8823700000000001	0.00049851	n/a
294.08799999999997	295.7071	hc034	19	1	1	3	0.74	0	0	10.5	0	283.5736	294.08799999999997	294.5878	1	297.5704	295.7071	1.1193	0.00028225	n/a
